timestamp,total_soutiree,date_JF,is_vac,t
2018-01-02 19:00:00,18498834868.0,0,1,13.450041050903149
2018-01-02 19:30:00,17738828843.0,0,1,13.386668719211853
2018-01-02 20:00:00,16997440160.0,0,1,13.323296387520552
2018-01-02 20:30:00,16408902484.0,0,1,13.25992405582925
2018-01-02 21:00:00,15732123190.0,0,1,13.196551724137954
2018-01-02 21:30:00,15389299876.0,0,1,13.22706993960649
2018-01-02 22:00:00,15698087319.0,0,1,13.257588155075029
2018-01-02 22:30:00,15563022887.0,0,1,13.288106370543563
2018-01-02 23:00:00,15350142935.0,0,1,13.318624586012106
2018-01-02 23:30:00,15238772579.0,0,1,13.34914280148064
2018-01-03 00:00:00,15101660682.0,0,1,13.379661016949177
2018-01-03 00:30:00,14985135989.0,0,1,13.420477748042448
2018-01-03 01:00:00,14863318452.0,0,1,13.461294479135717
2018-01-03 01:30:00,14791083900.0,0,1,13.502111210228984
2018-01-03 02:00:00,14800465648.0,0,1,13.542927941322255
2018-01-03 02:30:00,14832203554.0,0,1,13.583744672415525
2018-01-03 03:00:00,14860301555.0,0,1,13.624561403508794
2018-01-03 03:30:00,14911511860.0,0,1,13.656908514223435
2018-01-03 04:00:00,15188257902.0,0,1,13.68925562493807
2018-01-03 04:30:00,15568291221.0,0,1,13.721602735652711
2018-01-03 05:00:00,16471528928.0,0,1,13.753949846367346
2018-01-03 05:30:00,17232557364.0,0,1,13.786296957081987
2018-01-03 06:00:00,17944389243.0,0,1,13.818644067796626
2018-01-03 06:30:00,18688860027.0,0,1,13.768122930060407
2018-01-03 07:00:00,19938569026.0,0,1,13.717601792324196
2018-01-03 07:30:00,21057276530.0,0,1,13.667080654587979
2018-01-03 08:00:00,22642650120.0,0,1,13.616559516851765
2018-01-03 08:30:00,23372683608.0,0,1,13.56603837911555
2018-01-03 09:00:00,23689034847.0,0,1,13.515517241379335
2018-01-03 09:30:00,23939636878.0,0,1,13.711518605104251
2018-01-03 10:00:00,24072733489.0,0,1,13.907519968829169
2018-01-03 10:30:00,24115450706.0,0,1,14.103521332554092
2018-01-03 11:00:00,24272358048.0,0,1,14.299522696279011
2018-01-03 11:30:00,24122258407.0,0,1,14.495524060003927
2018-01-03 12:00:00,22954609346.0,0,1,14.691525423728844
2018-01-03 12:30:00,22341323574.0,0,1,14.615452472990414
2018-01-03 13:00:00,22456115267.0,0,1,14.539379522251986
2018-01-03 13:30:00,22974214530.0,0,1,14.463306571513558
2018-01-03 14:00:00,23323768434.0,0,1,14.387233620775126
2018-01-03 14:30:00,23330981044.0,0,1,14.311160670036696
